iter	MAE	RMSE
0	0.6050639708	0.7765988817
1	0.5912808834	0.7607023433
2	0.5784968229	0.7460191643
3	0.5646580097	0.730872715
4	0.5512803523	0.7168854318
5	0.5390271399	0.7029541988
6	0.5268330916	0.6896661391
7	0.514783295	0.6766019471
8	0.504154892	0.6640980851
9	0.4933461201	0.6523281951
10	0.4833465716	0.640872518
11	0.4735649968	0.6299229164
12	0.4641803989	0.619261741
13	0.4539542637	0.6088907809
14	0.4443234994	0.5989369112
15	0.4349634568	0.589179476
16	0.42604784	0.5798747427
17	0.4170405738	0.5706779872
18	0.4085917158	0.5625561128
19	0.4009034228	0.5541523307
20	0.3932400253	0.5464007443
21	0.3860632664	0.5387266013
22	0.3792005818	0.5311599684
23	0.3721589625	0.5238212252
24	0.3649982762	0.5167416556
25	0.3590207499	0.5101398072
26	0.353217044	0.5036797397
27	0.3473286617	0.4973578042
28	0.3418547371	0.4913216158
29	0.3366450201	0.485480823
30	0.3310156962	0.4797681374
31	0.325969461	0.4743340897
32	0.3203806796	0.4689648307
33	0.3154821366	0.4638962632
34	0.3103607407	0.4589101498
35	0.305871452	0.4542470793
36	0.3009408528	0.4498958263
37	0.296330138	0.4456385814
38	0.2927735788	0.4417805315
39	0.2880909096	0.4378367624
40	0.2839316121	0.4338833242
41	0.2806695571	0.430414099
42	0.2767215739	0.4268472944
43	0.2730699557	0.4232285315
44	0.2695318984	0.4199386493
45	0.2660914977	0.4170102169
46	0.2629117004	0.4140601784
47	0.2593973823	0.4111890584
48	0.2558942593	0.4081776168
49	0.2526690645	0.4055047495
50	0.2500873809	0.4029778893
51	0.2476593713	0.4004498688
52	0.2445821794	0.3978361802
53	0.2416612209	0.3953492258
54	0.2390154909	0.3930002734
55	0.2363865639	0.3908959221
56	0.2336653254	0.3887180517
57	0.2311757099	0.3865842937
58	0.228763053	0.3845854132
59	0.2266195436	0.3827367023
60	0.2242907931	0.3808493712
61	0.2220536262	0.3790219774
62	0.2200688008	0.3773337355
63	0.2178795332	0.375651348
64	0.2158511933	0.3740147644
65	0.2138886367	0.3723029135
66	0.2120596298	0.3708112599
67	0.2103121488	0.3693533608
68	0.2084979566	0.3679039891
69	0.2067129891	0.3665768987
70	0.2056257964	0.3653058809
71	0.2046202931	0.3640816791
72	0.2028001434	0.3628272166
73	0.2013299402	0.361636526
74	0.1997776934	0.3604623427
75	0.1984252562	0.3592704361
76	0.1971165036	0.3581497579
77	0.1958440695	0.3570173259
78	0.1944216141	0.3559514004
79	0.1931268777	0.3549030281
80	0.192064178	0.3540132194
81	0.1908143305	0.3530747362
82	0.1900681989	0.3521743745
83	0.188954648	0.3512552989
84	0.1878236477	0.3503950858
85	0.1867664198	0.3495858176
86	0.1858505966	0.3488155964
87	0.1848590546	0.3480518048
88	0.1840902972	0.3473302986
89	0.1831780971	0.3465600259
90	0.1822117427	0.3458322648
91	0.181617419	0.3451824538
92	0.1807500723	0.3445059925
93	0.1800363588	0.3439278715
94	0.1790914148	0.3431865997
95	0.1782082648	0.3425066018
96	0.177356911	0.3418680245
97	0.1764802271	0.3411043983
98	0.1756548145	0.3404674089
99	0.1749506361	0.3398205505
100	0.1741676608	0.3391657968
101	0.1734040189	0.3385731189
102	0.1727614491	0.3379939305
103	0.172110795	0.3374433104
104	0.1715879226	0.3369318362
105	0.171049511	0.3363390372
106	0.1706732167	0.3357356548
107	0.1702048013	0.3352420042
108	0.1698107408	0.3348127909
109	0.1691756164	0.3343326456
110	0.1686941152	0.3339004981
111	0.1681801575	0.3334557303
112	0.1677665701	0.3330428056
113	0.1673945402	0.3326549809
114	0.1669290955	0.3321058423
115	0.1666013058	0.3317365547
116	0.1662698135	0.3312926488
117	0.1657884291	0.3309293362
118	0.1652962603	0.330521384
119	0.1649734614	0.3301125881
120	0.1647002537	0.3296067525
121	0.1644517054	0.3292134807
