iter	Passed	Remaining
0	73	132157
1	158	142522
2	287	171986
3	387	173900
4	502	180313
5	632	189031
6	758	194339
7	875	196080
8	961	191392
9	1064	190581
10	1168	190087
11	1257	187372
12	1345	185020
13	1440	183830
14	1558	185476
15	1668	186001
16	1790	187758
17	1898	187925
18	1989	186508
19	2109	187732
20	2210	187294
21	2305	186363
22	2420	186982
23	2534	187520
24	2630	186743
25	2719	185584
26	2815	184909
27	2921	184874
28	3029	185000
29	3146	185670
30	3239	184885
31	3337	184399
32	3433	183871
33	3537	183761
34	3639	183526
35	3745	183534
36	3858	183850
37	3966	183933
38	4067	183658
39	4172	183583
40	4288	183978
41	4393	183888
42	4503	184010
43	4612	184085
44	4734	184639
45	4836	184427
46	4959	184996
47	5087	185691
48	5193	185600
49	5317	186097
50	5424	186033
51	5533	186024
52	5625	185444
53	5750	185923
54	5847	185515
55	5965	185771
56	6085	186076
57	6197	186128
58	6293	185711
59	6410	185901
60	6528	186121
61	6640	186149
62	6750	186123
63	6863	186180
64	6963	185868
65	7079	185991
66	7182	185775
67	7283	185504
68	7381	185170
69	7502	185421
70	7605	185210
71	7713	185117
72	7815	184888
73	7935	185098
74	8034	184785
75	8153	184956
76	8268	185027
77	8395	185355
78	8499	185155
79	8606	185047
80	8690	184439
81	8794	184259
82	8919	184516
83	9056	185009
84	9180	185237
85	9285	185053
86	9395	184987
87	9493	184684
88	9593	184427
89	9690	184112
90	9789	183851
91	9898	183771
92	9992	183417
93	10087	183077
94	10189	182869
95	10289	182633
96	10390	182427
97	10509	182523
98	10602	182171
99	10706	182008
100	10795	181597
101	10906	181555
102	10990	181080
103	11089	180847
104	11185	180558
105	11281	180284
106	11380	180068
107	11477	179811
108	11571	179523
109	11666	179236
110	11760	178957
111	11850	178608
112	11954	178475
113	12083	178714
114	12185	178549
115	12286	178363
116	12389	178214
117	12478	177866
118	12570	177569
119	12665	177319
120	12769	177184
121	12867	176979
122	12960	176709
123	13072	176689
124	13168	176455
125	13260	176176
126	13384	176315
127	13485	176152
128	13596	176117
129	13694	175920
130	13811	175967
131	13918	175882
132	14023	175773
133	14130	175677
134	14242	175657
135	14361	175721
136	14468	175632
137	14572	175502
138	14683	175456
139	14797	175454
140	14912	175460
141	15047	175692
142	15157	175635
143	15261	175510
144	15369	175420
145	15478	175349
146	15586	175273
147	15683	175056
148	15770	174740
149	15875	174632
150	15993	174655
151	16123	174814
152	16252	174955
153	16372	174992
154	16476	174859
155	16575	174676
156	16668	174436
157	16770	174288
158	16876	174173
159	16988	174128
160	17092	174000
161	17223	174145
162	17331	174058
163	17458	174155
164	17555	173963
165	17653	173772
166	17777	173841
167	17889	173783
168	17985	173573
169	18075	173309
170	18173	173125
171	18265	172882
172	18370	172766
173	18473	172635
174	18571	172449
175	18680	172368
176	18783	172234
177	18887	172108
178	18985	171927
179	19077	171696
180	19174	171511
181	19274	171350
182	19365	171111
183	19469	170994
184	19572	170865
185	19684	170807
186	19810	170880
187	19913	170745
188	20011	170571
189	20099	170318
190	20201	170175
